id,사업유형,사업명,근거법,상위계획,지정주체,시도,시군구,읍면동,최초계획연도,현재단계,단계상세,지연여부,예타상태,최근확인일,lat,lng,출처URL,비고,인프라연계id,대략가격대,구역면적,건축면적,동수,세대수,건폐율,용적률,예상완공시기,추진위조합정보,인근부동산,초기투자프리미엄정보,인근시세비교
P315,재건축(도시정비법),산곡재원아파트구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,산곡1동,,관리처분,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.503301,126.696806,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 산곡1동 180-329번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,3억+(추정),"11,261","2,829.72",4,294,25.13,231.16,확인필요(착공일 정보 없음),"산곡동 180-329번지 외 3필지, 11,261㎡. 2021 조합설립인가, 2022-05 관리처분계획인가, 2024-11-06 관리처분계획 변경인가 고시. 출처: 위클리한국주택경제신문(2026-07-20 검색)","산곡동 소재 개별업체 미확인(2026-07-20, 당근 동네업체 목록에 산곡동 소재로 명확히 표시된 번호 있는 업체 없음) — 인접 부평동 거성공인중개사사무소 032-511-0777 / 도도공인중개사사무소 032-362-5220 참고 가능",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: 산곡1구역 푸르지오APT(입주 완료) / 인근 재개발 진행 중: 산곡6구역(2,706세대, 분양 진행) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P316,재개발,산곡구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,산곡동,,착공,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.506496,126.702068,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 산곡동 87-903번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),"115,976.4","23,264.7",14,"2,475",27.34,344.1,2027년 2월경(착공일 2024-08-08 + 30개월 추정),"산곡동 87-903번지 일원, 14개동 지하3~지상45층, 공공주택 2,475세대. 2010-06 조합설립인가, 2017-12 시공사 교체(대우·현대건설→효성중공업·진흥기업), 2022-05 관리처분계획인가, 2024-07-24 착공신고서 제출, 공사기간 43개월로 2028-02 준공 목표. 출처: 인천투데이 2024-07-30 (원문 직접 확인)","산곡동 소재 개별업체 미확인(2026-07-20, 당근 동네업체 목록에 산곡동 소재로 명확히 표시된 번호 있는 업체 없음) — 인접 부평동 거성공인중개사사무소 032-511-0777 / 도도공인중개사사무소 032-362-5220 참고 가능",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: 산곡1구역 푸르지오APT(입주 완료) / 인근 재개발 진행 중: 산곡6구역(2,706세대, 분양 진행) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P317,재개발,산곡7구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,산곡동,,사업시행인가,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.497014,126.703735,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 산곡동 225-2번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,1억~2억(추정),"84,118",0,14,"1,536",20.13,237.48,확인필요(착공일 정보 없음),"산곡동 225-2번지 일원, 대지면적 85,395㎡, 아파트 1,496세대(지하2~지상12~26층 18개동) — 조합원분양 689세대·일반분양 552세대·임대 255세대(검색결과 요약 기준, 원문 재확인 권장, 2026-07-20)","산곡동 소재 개별업체 미확인(2026-07-20, 당근 동네업체 목록에 산곡동 소재로 명확히 표시된 번호 있는 업체 없음) — 인접 부평동 거성공인중개사사무소 032-511-0777 / 도도공인중개사사무소 032-362-5220 참고 가능",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: 산곡1구역 푸르지오APT(입주 완료) / 인근 재개발 진행 중: 산곡6구역(2,706세대, 분양 진행) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P318,재개발,산곡6구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,산곡동,,착공,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-19,37.5122,126.7033,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 산곡동 10번지 일원. 카카오 지오코딩 시도했으나 '산곡동 10' 주소 매칭 실패(지번 통폐합 추정) — 다른 산곡동 사업들과 달리 여전히 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),"122,971","13,841.03",18,"2,110",14.99,249.99,2028년 10월경(착공일 2026-04-08 + 30개월 추정),"산곡동 10번지 일원, 123,549㎡, 지하3~지상최고33층 20개동 2,706세대(조합원 1,416명, 조합원분양1,260/일반분양1,289/임대137/보류지20). 시공 GS건설·현대건설·코오롱글로벌 컨소시엄. 공식 조합 홈페이지(sangok6.co.kr) 존재하나 접속 오류로 직접 확인은 못함(2026-07-20). 출처: 뉴시티데일리/더퍼블릭 등(검색결과 요약 기준)","산곡동 소재 개별업체 미확인(2026-07-20, 당근 동네업체 목록에 산곡동 소재로 명확히 표시된 번호 있는 업체 없음) — 인접 부평동 거성공인중개사사무소 032-511-0777 / 도도공인중개사사무소 032-362-5220 참고 가능","84타입 기준 일반분양가 약 9억2,000만원 대비 조합원입주권은 프리미엄 포함 7억후반~8억대로 거래된다는 보도 확인(평당 일반분양가 2,700만원대 vs 조합원분양가 평당 약 1,150만원대). 출처: 하우징헤럴드 등(검색결과 요약 기준, 2026-07-20 — 시점에 따라 변동 가능하니 재확인 필요)","인근 신축 참고단지: 산곡1구역 푸르지오APT(입주 완료) / 인근 재개발 진행 중: 산곡6구역(2,706세대, 분양 진행) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P319,재개발,산곡5구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,산곡동,,사업시행인가,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.490943,126.704259,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 산곡동 370-58번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,1억~2억(추정),"88,025.5","8,830.32",13,"1,498",14.31,249.19,확인필요(착공일 정보 없음),"최고 37층 15개동 1,565세대 계획(기존 1,498세대에서 67세대 증가). 출처: 위클리한국주택경제신문(2026-07-20 검색)","산곡동 소재 개별업체 미확인(2026-07-20, 당근 동네업체 목록에 산곡동 소재로 명확히 표시된 번호 있는 업체 없음) — 인접 부평동 거성공인중개사사무소 032-511-0777 / 도도공인중개사사무소 032-362-5220 참고 가능","SNS(인스타그램)에 '산곡5구역 초투(초기투자금) 8000만원'이라는 게시물 확인(2026-07-20) — 개인 게시물 기반 정보라 시점·정확성 재검증 필요, 공식 자료 아님","인근 신축 참고단지: 산곡1구역 푸르지오APT(입주 완료) / 인근 재개발 진행 중: 산곡6구역(2,706세대, 분양 진행) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P320,재개발,산곡3구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,산곡동,,조합설립인가,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.502864,126.697850,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 산곡동 180-190번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,1억~2억(추정),,,,,,,확인필요(착공일 정보 없음),"조합설립인가 이후 단계(db 추적값). 인천 최초 특별건축구역 지정으로 층수·세대수가 늘었다는 보도 확인(위클리한국주택경제신문, 2026-07-20 검색) — 정확한 세대수·조합 사무실 연락처는 검색으로 특정 못함","산곡동 소재 개별업체 미확인(2026-07-20, 당근 동네업체 목록에 산곡동 소재로 명확히 표시된 번호 있는 업체 없음) — 인접 부평동 거성공인중개사사무소 032-511-0777 / 도도공인중개사사무소 032-362-5220 참고 가능",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: 산곡1구역 푸르지오APT(입주 완료) / 인근 재개발 진행 중: 산곡6구역(2,706세대, 분양 진행) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P321,재개발,부흥초동측 / 정비구역후보지(23년 2차),도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,부평동,,정비구역지정,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.497267,126.733321,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 부평동 156-1번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,5천만원대~1억(추정),"118,943",,,,,,확인필요(착공일 정보 없음),"정비구역지정 단계 — 추진위원회 미구성(2026-07-20 확인, 인천시 정비사업 정보시스템 renewal.incheon.go.kr 사업개요 기준)","거성공인중개사사무소 032-511-0777; 도도공인중개사사무소 032-362-5220(부평동 소재, 2026-07-20 당근 동네업체 목록 기준)","추진위 미구성 단계라 조합원 프리미엄 개념이 아직 형성되지 않음(2026-07-20 확인, 블로그·카페 검색에서도 관련 정보 없음)","인근 신축 참고단지: e편한세상부평그랑힐스(청천동, 인접) / 구축 참고단지: 부평동아1단지, 부평1동한국 — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P322,재건축(도시정비법),부평현대1단지,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,산곡동,,조합설립인가,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.488862,126.709604,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 산곡동 307번지 9 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),"124,897","166,471.06",21,"3,324",14.8,299.99,확인필요(착공일 정보 없음),"2025-09-25 추진위원회 승인 고시(인천 최초 신탁방식 사업시행자 지정 절차 진행 중, 하나자산신탁) — db 추적 현재단계는 이후 조합설립인가로 진전(최근확인일 기준). 산곡동 307번지, 124,897㎡, 1985년 준공 23개동 2,204세대. 출처: 위클리한국주택경제신문/한국AI부동산신문(2026-07-20 검색)","산곡동 소재 개별업체 미확인(2026-07-20, 당근 동네업체 목록에 산곡동 소재로 명확히 표시된 번호 있는 업체 없음) — 인접 부평동 거성공인중개사사무소 032-511-0777 / 도도공인중개사사무소 032-362-5220 참고 가능",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: 산곡1구역 푸르지오APT(입주 완료) / 인근 재개발 진행 중: 산곡6구역(2,706세대, 분양 진행) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P323,재개발,부평4구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,부평동,,착공,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.483710,126.722730,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 부평동 665-2번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),"80,720.2","9,419.53",13,"2,413",14.1,329.64,2023년 12월경(착공일 2021-06-02 + 30개월 추정),"부평동 소재, 80,720.2㎡, 아파트 1,924세대+오피스텔 약 616세대. 뉴스테이 도입 후 공급 규모 약 2,540세대(오피스텔 포함)로 확대, 임대주택 약 97세대(기초수급자 등 대상) 계획(2026-07-20 검색 기준, 시공사·정확 착공일은 특정 못함)","거성공인중개사사무소 032-511-0777; 도도공인중개사사무소 032-362-5220(부평동 소재, 2026-07-20 당근 동네업체 목록 기준)",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: e편한세상 부평역 센트럴파크(부평2구역, 2024-12 입주) / 구축 참고단지: 부평동아1단지, 부평1동한국 — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P324,재개발,부평2구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,부평2동,,착공,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.486635,126.715551,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 부평2동 760-700번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),"59,954","7,534",13,"1,500",15.72,273.6,2024년 10월경(착공일 2022-04-21 + 30개월 추정),"부평동 일대, 'e편한세상 부평역 센트럴파크'. DL건설(옛 고려개발) 시공, 1,500세대 13개동, 2024-12 입주 보도 — db 추적 현재단계는 착공으로 표기돼 있어 최근확인일 기준 재확인 필요. 인천1호선 동수역과 지하주차장 직결(일반아파트로는 드문 사례), 부평공원 인접(2026-07-20 검색 기준)","거성공인중개사사무소 032-511-0777; 도도공인중개사사무소 032-362-5220(부평동 소재, 2026-07-20 당근 동네업체 목록 기준)",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: e편한세상 부평역 센트럴파크(부평2구역, 2024-12 입주) / 구축 참고단지: 부평동아1단지, 부평1동한국 — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P325,재개발,부광초교서측 / 정비구역후보지(23년 2차),도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,부개동,,정비구역지정,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.499434,126.735495,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 부개동 65-1번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,5천만원대~1억(추정),"80,347.6",,,,,,확인필요(착공일 정보 없음),"정비구역지정 단계 — 추진위원회 미구성(2026-07-20 확인, 인천시 정비사업 정보시스템 renewal.incheon.go.kr 사업개요 기준)","성신공인중개사사무소 032-719-3555(부개동 소재, 2026-07-20 당근 동네업체 목록 기준)","추진위 미구성 단계라 조합원 프리미엄 개념이 아직 형성되지 않음(2026-07-20 확인, 블로그·카페 검색에서도 관련 정보 없음)","인근 참고단지: 부평한국(부개동, 1992년 준공, 580세대) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P326,재개발,부개5구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,부개1동,,조합설립인가,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.483771,126.740398,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 부개1동 381-15번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,1억~2억(추정),"117,300","11,560",13,"1,829",14.86,249.95,확인필요(착공일 정보 없음),조합설립인가 단계(db 추적값) — 검색으로 세대수·조합 연락처를 특정하지 못함(2026-07-20 시도),"성신공인중개사사무소 032-719-3555(부개동 소재, 2026-07-20 당근 동네업체 목록 기준)",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 참고단지: 부평한국(부개동, 1992년 준공, 580세대) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P327,재개발,부개4구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,부개동,,착공,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.503342,126.735981,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 부개동 13-5번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),"66,688.8","10,025.54",13,"1,299",21.07,245.64,2028년 3월경(착공일 2025-09-12 + 30개월 추정),"부개동 13-5번지 일대, 지하2~지상25층 13개동 1,299가구. 시공사 두산건설·한양 컨소시엄(2024-11-30 선정, 총도급액 3,071억원, 두산60%/한양40%). 익년 상반기 일반분양 전망(2026-07-20 검색 기준)","성신공인중개사사무소 032-719-3555(부개동 소재, 2026-07-20 당근 동네업체 목록 기준)",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 참고단지: 부평한국(부개동, 1992년 준공, 580세대) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P328,재개발,동암중서측 / 정비구역후보지(23년 1차),도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,십정동,,정비구역지정,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.473392,126.704591,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 십정동 499-1번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,5천만원대~1억(추정),"38,942",,,,,,확인필요(착공일 정보 없음),"정비구역지정 단계 — 추진위원회 미구성(2026-07-20 확인, 인천시 정비사업 정보시스템 renewal.incheon.go.kr 사업개요 기준)","부동산 판(더샵부평점) 010-8028-1848; 골든크로스 부동산 032-441-7771(십정동 소재, 2026-07-20 당근 동네업체 목록 기준)","추진위 미구성 단계라 조합원 프리미엄 개념이 아직 형성되지 않음(2026-07-20 확인, 블로그·카페 검색에서도 관련 정보 없음)","인근 신축 참고단지: 힐스테이트부평(십정동 642, 2023년 준공) / 대단지 더샵부평센트럴시티(십정동 630) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P329,재개발,동수초북측 / 정비구역후보지(23년 2차),도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,부평동,,정비구역지정,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.486449,126.731175,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 부평동 623-1번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,5천만원대~1억(추정),"67,599",,,,,,확인필요(착공일 정보 없음),"정비구역지정 단계 — 추진위원회 미구성(2026-07-20 확인, 인천시 정비사업 정보시스템 renewal.incheon.go.kr 사업개요 기준)","거성공인중개사사무소 032-511-0777; 도도공인중개사사무소 032-362-5220(부평동 소재, 2026-07-20 당근 동네업체 목록 기준)","추진위 미구성 단계라 조합원 프리미엄 개념이 아직 형성되지 않음(2026-07-20 확인, 블로그·카페 검색에서도 관련 정보 없음)","인근 신축 참고단지: e편한세상부평그랑힐스(청천동, 인접) / 구축 참고단지: 부평동아1단지, 부평1동한국 — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P330,재개발,동소정사거리북동측 / 정비구역후보지(23년 2차),도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,부평동,,정비구역지정,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.488794,126.731106,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 부평동 614번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,5천만원대~1억(추정),"52,490.9",,,,,,확인필요(착공일 정보 없음),"정비구역지정 단계 — 추진위원회 미구성(2026-07-20 확인, 인천시 정비사업 정보시스템 renewal.incheon.go.kr 사업개요 기준)","거성공인중개사사무소 032-511-0777; 도도공인중개사사무소 032-362-5220(부평동 소재, 2026-07-20 당근 동네업체 목록 기준)","추진위 미구성 단계라 조합원 프리미엄 개념이 아직 형성되지 않음(2026-07-20 확인, 블로그·카페 검색에서도 관련 정보 없음)","인근 신축 참고단지: e편한세상부평그랑힐스(청천동, 인접) / 구축 참고단지: 부평동아1단지, 부평1동한국 — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P331,재개발,갈산동64-12,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,갈산동,,추진위승인,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.519098,126.728080,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 갈산동 64-12번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,5천만원대~1억(추정),,,,,,,확인필요(원문 사업개요 없음),"갈산동64-12번지 일원 재개발 조합설립추진위원회(위원장 나영주) — 2026-04-20 추진위 승인, 동의율 약 66.7%(입안제안용 68% 확보), 토지등소유자 901명, 구역면적 68,902㎡, 계획 1,727세대(최고 29층). 출처: 위클리한국주택경제신문 2026-04-27",대박부동산공인중개사사무소(인천 부평구 평천로 381-1) 032-525-0508 (2026-07-20 당근 업체정보 직접 확인),추진위 승인 초기 단계(2026-04)로 관련 블로그·카페 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 참고단지: 갈산아파트, 갈산아주, 갈산우성, 한국(갈산동) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P333,재개발,갈산1구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,갈산동,,관리처분,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.521651,126.727906,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 갈산동 112-39번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),"50,367",0,10,"1,137",15.78,251.21,확인필요(착공일 정보 없음),"갈산동 112-39번지 일대, 50,415㎡, 지하3~지상34층 10개동 1,137세대. 총사업비 3,857억원. 시공사 포스코건설·HDC현대산업개발. 2009 정비구역지정→2010 조합설립인가→2022-08-26 관리처분계획인가. 조합 연락처(검색 결과 기준, 미검증) 032-505-0595. 출처: 중부일보/인천in(2026-07-20 검색)",대박부동산공인중개사사무소(인천 부평구 평천로 381-1) 032-525-0508 (2026-07-20 당근 업체정보 직접 확인),관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 참고단지: 갈산아파트, 갈산아주, 갈산우성, 한국(갈산동) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
